name,team,draft_pick,games,ppg,rpg,apg,spg,bpg,ts_pct,avg_game_score,source
AJ Dybantsa,Washington Wizards,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Darryn Peterson,Utah Jazz,2,2,26.5,3.5,7.0,1.0,1.0,69.7,19.5,realgm
Cameron Boozer,Memphis Grizzlies,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Caleb Wilson,Chicago Bulls,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Keaton Wagler,LA Clippers,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Mikel Brown Jr.,Brooklyn Nets,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Darius Acuff Jr.,Sacramento Kings,7,2,23.5,2.0,3.5,1.0,1.0,47.1,11.4,realgm
Kingston Flemings,Atlanta Hawks,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Morez Johnson Jr.,Dallas Mavericks,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Brayden Burries,Milwaukee Bucks,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Yaxel Lendeborg,Golden State Warriors,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Aday Mara,Oklahoma City Thunder,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Nate Ament,Milwaukee Bucks,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Hannes Steinbach,Charlotte Hornets,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Dailyn Swain,Chicago Bulls,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Bennett Stirtz,Oklahoma City Thunder,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Ebuka Okorie,Detroit Pistons,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Christian Anderson Jr.,Charlotte Hornets,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Allen Graves,Toronto Raptors,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Jayden Quaintance,San Antonio Spurs,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
Karim Lopez,Memphis Grizzlies,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
